Name,User,Location,Total tweets,Retweets,Images,Links,Chats,Text tweets,Impacts,Followers,User value,Tweets value
@RamliRizal,Dr. Rizal Ramli,,1,0,0,1,0,0,527059,527059,929.67,1022.64
@claudiapalacios,Claudia Palacios,"ÜT: 34.022451,-84.259735",1,0,0,0,0,1,526220,526220,1135.56,1135.56
@jensstoltenberg,Jens Stoltenberg,NATO Secretary General,1,0,1,0,0,0,526164,526164,1134.63,1361.56
@khayadlanga,Khaya Dlanga,South Africa,3,0,0,0,0,3,1558805,523484,1115.47,3324.02
@larazon_es,La Razón,España,1,0,0,1,0,0,522939,522939,1168.11,1284.92
@pnique,ᴘᴀʙʟᴏ ᴇᴄʜᴇɴɪQᴜᴇ 🇪🇸,España,18,0,5,8,0,5,9228112,522692,1130.84,22008.62
@gerardotc,gerardo tecé,"Sevilla, Andalucía",6,0,1,2,0,3,3084223,521933,947.07,5979.76
@sarahkendzior,Sarah Kendzior,St. Louis,1,0,0,0,1,0,521690,521690,1179.6,235.92
@joshuawongcf,Joshua Wong 黃之鋒 😷,Hong Kong,6,0,2,3,0,1,3117981,521023,1119.52,7483.37
@AshaRangappa_,Asha Rangappa,New Haven,3,0,0,1,0,2,1549658,518956,1135.87,3505.36
@jerrysaltz,Jerry Saltz,New York City,1,0,1,0,0,0,518432,518432,1117.03,1340.44
@callodehacha,Callo,,2,0,2,0,0,0,1031603,516460,1115.7,2674.63
@astro_duque,Pedro Duque,España,1,0,1,0,0,0,515651,515651,1103.88,1324.66
@diostuitero,Dios,De Madrid al Cielo ,2,0,0,0,0,2,1028694,514347,930.99,1861.98
@diariARA,Diari ARA,Catalunya,4,0,0,4,0,0,2055284,514307,1149.77,5054.92
@EremNews,إ ر م نـ يـ و ز,Middle East,1,0,1,0,0,0,513992,513992,1093.74,1312.49
@NickSwagyPYoung,Nick Young,"Denver, CO",1,0,0,0,0,1,513643,513643,1102.96,1102.96
@the_ironsheik,The Iron Sheik,USA Bubba,1,0,0,0,0,1,513642,513642,1124.63,1124.63
@cyrilschreiner,Cyridicule,"Strasbourg, France",2,0,0,0,0,2,1025862,512932,906.65,1813.3
@JLozanoA,𝐉𝐚𝐯𝐢𝐞𝐫 𝐋𝐨𝐳𝐚𝐧𝐨 𝐀.,,7,0,3,4,0,0,3572999,512680,1112.75,8868.02
@Breaking911,Breaking911,Nashville,14,0,6,1,0,8,7073911,511225,946.29,14347.69
@Ama_K_Abebrese,Ama K Abebrese,London | Ghana | LA | New York,1,0,1,0,0,0,511187,511187,903.45,1084.14
@TecdeMonterrey,Tecnológico de Monterrey,México,1,0,0,0,0,1,511106,511106,1092,1092
@SBAgov,SBA,Nationwide,3,0,1,5,0,0,1507482,509424,1120.3,3889.42
@CMonteroOficial,Carlos Montero,"Miami, Fl ",10,0,0,5,0,5,5084639,509409,928.27,9731.27
@ronaldocaiado,Ronaldo Caiado,Brasil,4,0,1,1,0,2,2015368,508768,1090.66,4650.28
@SRuhle,Stephanie Ruhle,New York City,6,0,1,3,0,2,2983622,507971,1111.63,7097.42
@FaisalBasri,Faisal Basri,Jakarta,2,0,0,0,0,2,1015176,507589,901.84,1803.67
@TirtoID,tirto.id,Indonesia,2,0,0,2,0,0,1014159,507502,1081.87,2381.9
@ogundamisi,Kayode Ogundamisi,"Lagos, Nigeria. London, UK",1,0,1,0,0,0,507274,507274,1080.56,1296.67
@News18TamilNadu,News18 Tamil Nadu,"Chennai, India",1,0,0,1,0,0,507172,507172,1078.25,1186.08
@PodSaveAmerica,Pod Save America,,5,0,5,0,0,0,2483118,506039,1105.69,6522.16
@boliviazica,Bolívia Zica,"São Paulo, Brasil",1,0,0,0,0,1,505848,505848,1077.54,1077.54
@zelune,Zelune,São Paulo,1,0,1,0,0,0,505083,505083,1074.43,1289.32
@OgbeniDipo,Dr. Dípò Awójídé,England | Nigeria,18,0,0,0,0,18,8706211,505012,899.56,15573.24
@footbalIfights,Football Fights,,1,0,1,0,0,0,503409,503409,905.16,1086.19
@Education4Libs,Educating Liberals ⭐️⭐️⭐️,"Minnesota, USA",29,0,1,1,1,27,14124720,502537,846.87,23344.2
@smkoneru,Mahesh S Koneru,"Hyderabad, India",1,0,0,0,0,1,501844,501844,1066.27,1066.27
@andylassner,andy lassner,Los Angeles ,2,0,1,1,0,0,1002211,501106,1088.42,2503.36
@ianbremmer,ian bremmer,,14,0,4,0,3,8,6743360,500597,1152.11,13630.9
@clairecmc,Claire McCaskill,Missouri,1,0,0,1,0,0,498565,498565,1119.09,1231
@Jasmindays,แมรี่เจน,,1,0,0,1,1,0,497582,497582,881.11,193.84
@TeamPelosi,Nancy Pelosi,San Francisco,13,0,8,3,0,2,6399844,497264,1070.38,15809.89
@JoseCanseco,Jose Canseco,"Las Vegas, NV",1,0,1,0,0,0,496995,496995,1092.13,1310.56
@XSalaimartin,Xavier Sala-i-Martin,New York,15,0,0,13,0,2,7386241,496529,1090.84,17648.61
@TVietor08,Tommy Vietor,"Los Angeles, CA",18,0,1,9,0,8,8821840,496487,1107.1,20847.22
@LivaneliZulfu,Zülfü Livaneli,,2,0,1,0,0,1,992788,496394,1058.31,2328.28
@arthurmoledoval,Arthur do Val - Mamaefalei,"São Paulo, Brasil",1,0,0,0,0,1,495075,495075,1056.12,1056.12
@kasie,Kasie Hunt,"Washington, DC",7,0,0,2,0,5,3402117,494842,1101.34,7808.34
@ScottPresler,#ThePersistence,Invite me to your city!,2,0,1,0,0,1,963420,494114,1061.91,2287.89
@navedelmisterio,Iker Jiménez,"Spain, Madrid",6,0,0,6,0,0,2862165,493252,1077.11,6900.32
@UNGeneva,UN Geneva,"Geneva, Switzerland",1,0,1,0,0,0,492796,492796,1074.33,1289.2
@Gatosylvestre,Gustavo Sylvestre,"Buenos Aires, Argentina",2,0,0,1,0,1,982299,492703,1060.64,2233.33
@Guillodietrich,Guillo Dietrich,Argentina,1,0,0,1,0,0,490951,490951,1051.86,1157.05
@cctvidiots,CCTV IDIOTS,WorldWide,1,0,1,0,0,0,490407,490407,876.03,1051.24
@ferialhaffajee,Ferial Haffajee,Johannesburg,1,0,1,0,0,0,489364,489364,1050.12,1260.14
@AlbertoRodNews,AlbertoRodNews,"Caracas, Venezuela",17,0,0,17,0,0,8226773,488862,1053.01,19509.65
@thegoodgodabove,God,Heaven,6,0,0,0,0,6,2924235,488497,883.92,5293.07
@oppenheimera,Andres Oppenheimer,Ph Guillermo Munt,1,0,0,1,0,0,487453,487453,1073.53,1180.88
@EvanMcMullin,Evan McMullin,Salt Lake City,3,0,0,0,0,3,1458404,487004,1082.14,3248.54
@MaliniP,Malini Parthasarathy,"Chennai, India",1,0,0,1,0,0,486725,486725,1043.78,1148.16
@TAMARA_SUJU,Tamara Suju,República Checa,10,0,3,8,0,0,4754767,486617,870.08,9628.29
@manuriosfdez,manu,,1,0,0,0,0,1,486119,486119,1047.26,1047.26
@tarcisiogdf,Tarcísio Gomes de Freitas,,9,0,8,2,0,0,4105587,484675,1038.08,10632.59
@GiuseppeConteIT,Giuseppe Conte,,4,0,0,2,0,2,1754856,484246,896.9,4003.63
